Species,Family,BE,Letzter_Nachweis,Deutscher_Name,Reference
Donacia brevicornis,Chrysomelidae,0,vor 1907,,Rote Liste und Gesamtartenliste der Blattkäfer (Chrysomelidae und Megalopodidae) von Berlin
Donacia dentata,Chrysomelidae,0,1937,,Rote Liste und Gesamtartenliste der Blattkäfer (Chrysomelidae und Megalopodidae) von Berlin
Donacia obscura,Chrysomelidae,0,vor 1907,,Rote Liste und Gesamtartenliste der Blattkäfer (Chrysomelidae und Megalopodidae) von Berlin
Donacia thalassina,Chrysomelidae,0,vor 1950,,Rote Liste und Gesamtartenliste der Blattkäfer (Chrysomelidae und Megalopodidae) von Berlin
Donacia tomentosa,Chrysomelidae,0,1943,,Rote Liste und Gesamtartenliste der Blattkäfer (Chrysomelidae und Megalopodidae) von Berlin
Macroplea appendiculata,Chrysomelidae,0,vor 1907,,Rote Liste und Gesamtartenliste der Blattkäfer (Chrysomelidae und Megalopodidae) von Berlin
Lilioceris merdigera,Chrysomelidae,0,vor 1913,,Rote Liste und Gesamtartenliste der Blattkäfer (Chrysomelidae und Megalopodidae) von Berlin
Labidostomis humeralis,Chrysomelidae,0,1897,,Rote Liste und Gesamtartenliste der Blattkäfer (Chrysomelidae und Megalopodidae) von Berlin
Labidostomis tridentata,Chrysomelidae,0,1949,,Rote Liste und Gesamtartenliste der Blattkäfer (Chrysomelidae und Megalopodidae) von Berlin
Cryptocephalus bipunctatus,Chrysomelidae,0,vor 1950,,Rote Liste und Gesamtartenliste der Blattkäfer (Chrysomelidae und Megalopodidae) von Berlin
Cryptocephalus chrysopus,Chrysomelidae,0,vor 1950,,Rote Liste und Gesamtartenliste der Blattkäfer (Chrysomelidae und Megalopodidae) von Berlin
Cryptocephalus coryli,Chrysomelidae,0,1906,,Rote Liste und Gesamtartenliste der Blattkäfer (Chrysomelidae und Megalopodidae) von Berlin
Cryptocephalus decemmaculatus,Chrysomelidae,0,1948,,Rote Liste und Gesamtartenliste der Blattkäfer (Chrysomelidae und Megalopodidae) von Berlin
Cryptocephalus hypochaeridis,Chrysomelidae,0,1946,,Rote Liste und Gesamtartenliste der Blattkäfer (Chrysomelidae und Megalopodidae) von Berlin
Cryptocephalus janthinus,Chrysomelidae,0,2008,,Rote Liste und Gesamtartenliste der Blattkäfer (Chrysomelidae und Megalopodidae) von Berlin
Cryptocephalus laetus,Chrysomelidae,0,vor 1900,,Rote Liste und Gesamtartenliste der Blattkäfer (Chrysomelidae und Megalopodidae) von Berlin
Cryptocephalus octopunctatus,Chrysomelidae,0,vor 1950,,Rote Liste und Gesamtartenliste der Blattkäfer (Chrysomelidae und Megalopodidae) von Berlin
Cryptocephalus pini,Chrysomelidae,0,vor 1950,,Rote Liste und Gesamtartenliste der Blattkäfer (Chrysomelidae und Megalopodidae) von Berlin
Cryptocephalus quadripustulatus,Chrysomelidae,0,vor 1950,,Rote Liste und Gesamtartenliste der Blattkäfer (Chrysomelidae und Megalopodidae) von Berlin
Cryptocephalus querceti,Chrysomelidae,0,1885,,Rote Liste und Gesamtartenliste der Blattkäfer (Chrysomelidae und Megalopodidae) von Berlin
Pachybrachis hieroglyphicus,Chrysomelidae,0,1885,,Rote Liste und Gesamtartenliste der Blattkäfer (Chrysomelidae und Megalopodidae) von Berlin
Oomorphus concolor,Chrysomelidae,0,vor 1920,,Rote Liste und Gesamtartenliste der Blattkäfer (Chrysomelidae und Megalopodidae) von Berlin
Chrysolina cerealis,Chrysomelidae,0,vor 1950,,Rote Liste und Gesamtartenliste der Blattkäfer (Chrysomelidae und Megalopodidae) von Berlin
Prasocuris glabra,Chrysomelidae,0,1960,,Rote Liste und Gesamtartenliste der Blattkäfer (Chrysomelidae und Megalopodidae) von Berlin
Prasocuris hannoveriana,Chrysomelidae,0,vor 1918,,Rote Liste und Gesamtartenliste der Blattkäfer (Chrysomelidae und Megalopodidae) von Berlin
Galeruca melanocephala,Chrysomelidae,0,1928,,Rote Liste und Gesamtartenliste der Blattkäfer (Chrysomelidae und Megalopodidae) von Berlin
Chaetocnema confusa,Chrysomelidae,0,1907,,Rote Liste und Gesamtartenliste der Blattkäfer (Chrysomelidae und Megalopodidae) von Berlin
Dibolia schillingi,Chrysomelidae,0,1942,,Rote Liste und Gesamtartenliste der Blattkäfer (Chrysomelidae und Megalopodidae) von Berlin
Longitarsus nigerrimus,Chrysomelidae,0,1958,,Rote Liste und Gesamtartenliste der Blattkäfer (Chrysomelidae und Megalopodidae) von Berlin
Bruchidius cisti,Chrysomelidae,0,vor 1950,,Rote Liste und Gesamtartenliste der Blattkäfer (Chrysomelidae und Megalopodidae) von Berlin
Bruchus pisorum,Chrysomelidae,0,1949,,Rote Liste und Gesamtartenliste der Blattkäfer (Chrysomelidae und Megalopodidae) von Berlin
Bruchus rufimanus,Chrysomelidae,0,vor 1950,,Rote Liste und Gesamtartenliste der Blattkäfer (Chrysomelidae und Megalopodidae) von Berlin
