Gattung,Artname,BE,Bestand,Vor_1990,1990_2017,Trend_kurz,Habitat,D,BB,GS,Deutscher_name
"Pharmacis HÜBNER, 1820","fusconebulosa (DEGEER, 1778)",0,ex,x 1973,–,,LKW,V,⬤,,Adlerfarn-Wurzelbohrer
"Heterogenea KNOCH, 1783","asella (DEN. & SCHIFF., 1775)",0,ex,x 1978,–,,LMW,V,⬤,,Kleiner Schneckenspinner
"Zygaena FABRICIUS, 1775","purpuralis (BRUENNICH, 1763)",0,ex,x,–,,TR,V,⬤,§,Thymian-Widderchen
"Malacosoma HÜBNER, 1820","castrensis (LINNAEUS, 1758)",0,ex,x 1982,–,,TR,3,⬤,§,Wolfsmilch-Ringelspinner
"Eriogaster GERMAR, 1810 ","lanestris (LINNAEUS, 1758)",0,ex,x vor 1900,–,,WRS,3,⬤,§,Wollafter
Lasiocampa SCHRANK 1802,"quercus (LINNAEUS, 1758)",0,ex,x 1973,–,,LKW,*,⬤,,Eichenspinner
"Trichiura STEPHENS, 1828 ","crataegi (LINNAEUS, 1758)",0,ex,x 1975,–,,HE,*,⬤,,Weißdornspinner
"Gastropacha OCHSENHEIMER, 1810 ","populifolia (DEN. & SCHIFF., 1775)",0,ex,x 1959,–,,WHA,1,⬤,§§,Pappelglucke
"Phyllodesma HÜBNER, 1820","tremulifolia (HÜBNER, 1810)",0,ex,x 1967,–,,LMW,3,⬤,§,Eichenglucke
"Odonestis GERMAR, 1812","pruni (LINNAEUS, 1758)",0,ex,x 1975,–,,"BW, LMW, VG, HE",2,⬤,,Pflaumenglucke
"Lemonia HÜBNER, 1820","dumi (LINNAEUS, 1761)",0,ex,x 1962,–,,TR,2,⬤,§,Habichtskraut-Wiesenspinner
"Aglia OCHSENHEIMER, 1810","tau (LINNAEUS, 1758)",0,ex,x 1970,–,,BuW,*,⬤,,Nagelfleck
"Saturnia SCHRANK, 1802 ","pavonia (LINNAEUS, 1758)",0,ex,x 1970,–,,CH,*,⬤,,Kleines Nachtpfauenauge
"Hemaris DALMAN, 1877","tityus (LINNAEUS, 1758)",0,ex,x 1940,–,,TR,2,⬤,§,Skabiosenschwärmer
"Pyrgus HÜBNER, 1819 ","carthami (HÜBNER, 1813)",0,ex,x vor 1900,–,,TR,2,o,§,Steppenheiden-Würfel-Dickkopffalter
"Pyrgus HÜBNER, 1819 ","alveus (HÜBNER, 1803)",0,ex,x vor 1900,–,,TR,2,⬤,§,Sonnenröschen-Würfel-Dickkopffalter
"Carterocephalus LEDERER, 1852 ","silvicola (MEIGEN, 1829)",0,ex,x 1980,–,,BW,2,⬤,,Schwarzkolbiger Gold-Dickkopffalter
"Lycaena FABRICIUS, 1807","helle (DEN. & SCHIFF., 1775)",0,ex,x 1957,–,,MW,2,⬤,"§§, II, IV",Blauschillernder Feuerfalter
"Lycaena FABRICIUS, 1808","hippothoe (LINNAEUS, 1761)",0,ex,x 1981,–,,NM,3,⬤,§,Lilagold-Feuerfalter
